pair_index,seed,v1_path,v2_path,clip_subject_v1,clip_subject_v2,clip_style_v1,clip_style_v2,lpips,ssim,sharpness_v1,sharpness_v2,color_dist,notes
1,17,G:\My Drive\ComfyUI\output\ComfyUI_00017_.png,G:\My Drive\ComfyUI\output\ComfyUI_00077_.png,0.3515,0.3321,0.1698,0.1858,0.3057,0.5918,686.81,489.72,0.8268,
2,18,G:\My Drive\ComfyUI\output\ComfyUI_00018_.png,G:\My Drive\ComfyUI\output\ComfyUI_00078_.png,0.3296,0.3442,0.2249,0.1739,0.5793,0.2384,1682.66,853.55,0.877,
3,19,G:\My Drive\ComfyUI\output\ComfyUI_00019_.png,G:\My Drive\ComfyUI\output\ComfyUI_00079_.png,0.2929,0.3307,0.2615,0.2086,0.4856,0.2542,1615.08,629.85,0.8388,
4,20,G:\My Drive\ComfyUI\output\ComfyUI_00020_.png,G:\My Drive\ComfyUI\output\ComfyUI_00080_.png,0.2797,0.3102,0.21,0.1717,0.5997,0.3185,1441.47,1090.38,0.8744,
5,21,G:\My Drive\ComfyUI\output\ComfyUI_00021_.png,G:\My Drive\ComfyUI\output\ComfyUI_00081_.png,0.3259,0.3327,0.2259,0.1728,0.4935,0.2604,1097.36,535.83,0.7546,
6,22,G:\My Drive\ComfyUI\output\ComfyUI_00022_.png,G:\My Drive\ComfyUI\output\ComfyUI_00082_.png,0.3339,0.3313,0.2422,0.2034,0.4823,0.3056,1209.64,814.18,0.7995,
7,23,G:\My Drive\ComfyUI\output\ComfyUI_00023_.png,G:\My Drive\ComfyUI\output\ComfyUI_00083_.png,0.3425,0.3357,0.1669,0.1998,0.3601,0.6493,163.43,208.53,0.8817,
8,24,G:\My Drive\ComfyUI\output\ComfyUI_00024_.png,G:\My Drive\ComfyUI\output\ComfyUI_00084_.png,0.3143,0.3327,0.2272,0.1713,0.6357,0.398,466.26,447.34,0.8662,
9,25,G:\My Drive\ComfyUI\output\ComfyUI_00025_.png,G:\My Drive\ComfyUI\output\ComfyUI_00085_.png,0.3328,0.3384,0.1805,0.1802,0.5094,0.4498,907.4,623.7,0.8716,
10,26,G:\My Drive\ComfyUI\output\ComfyUI_00026_.png,G:\My Drive\ComfyUI\output\ComfyUI_00086_.png,0.3454,0.366,0.2234,0.1787,0.4461,0.3402,1160.93,514.09,0.8257,
11,27,G:\My Drive\ComfyUI\output\ComfyUI_00027_.png,G:\My Drive\ComfyUI\output\ComfyUI_00087_.png,0.2999,0.3231,0.2785,0.1891,0.5846,0.2666,1713.93,726.04,0.8374,
12,28,G:\My Drive\ComfyUI\output\ComfyUI_00028_.png,G:\My Drive\ComfyUI\output\ComfyUI_00088_.png,0.3293,0.3086,0.2429,0.1615,0.5024,0.3255,1445.07,526.89,0.8955,
13,29,G:\My Drive\ComfyUI\output\ComfyUI_00029_.png,G:\My Drive\ComfyUI\output\ComfyUI_00089_.png,0.3416,0.3497,0.2054,0.1963,0.4095,0.4845,669.1,463.68,0.8877,
14,30,G:\My Drive\ComfyUI\output\ComfyUI_00030_.png,G:\My Drive\ComfyUI\output\ComfyUI_00090_.png,0.2933,0.3272,0.2517,0.1938,0.5153,0.172,3887.03,1403.45,0.771,
15,31,G:\My Drive\ComfyUI\output\ComfyUI_00031_.png,G:\My Drive\ComfyUI\output\ComfyUI_00091_.png,0.3239,0.3352,0.2207,0.1758,0.492,0.2879,2225.31,414.63,0.8597,
16,32,G:\My Drive\ComfyUI\output\ComfyUI_00032_.png,G:\My Drive\ComfyUI\output\ComfyUI_00092_.png,0.342,0.3221,0.2009,0.1669,0.4646,0.4131,1281.01,939.39,0.8144,
17,33,G:\My Drive\ComfyUI\output\ComfyUI_00033_.png,G:\My Drive\ComfyUI\output\ComfyUI_00093_.png,0.3128,0.3321,0.248,0.1993,0.4601,0.4545,989.78,497.61,0.8857,
18,34,G:\My Drive\ComfyUI\output\ComfyUI_00034_.png,G:\My Drive\ComfyUI\output\ComfyUI_00094_.png,0.3095,0.3348,0.2605,0.1945,0.5123,0.2696,1739.59,281.91,0.7572,
19,35,G:\My Drive\ComfyUI\output\ComfyUI_00035_.png,G:\My Drive\ComfyUI\output\ComfyUI_00095_.png,0.3266,0.3276,0.2558,0.2268,0.6215,0.2524,1717.42,516.89,0.898,
20,36,G:\My Drive\ComfyUI\output\ComfyUI_00036_.png,G:\My Drive\ComfyUI\output\ComfyUI_00096_.png,0.3327,0.3151,0.2267,0.1701,0.5105,0.2716,2601.07,1043.17,0.8635,
21,37,G:\My Drive\ComfyUI\output\ComfyUI_00037_.png,G:\My Drive\ComfyUI\output\ComfyUI_00097_.png,0.319,0.2915,0.2072,0.1735,0.4632,0.5046,957.83,1171.85,0.8731,
22,38,G:\My Drive\ComfyUI\output\ComfyUI_00038_.png,G:\My Drive\ComfyUI\output\ComfyUI_00098_.png,0.3298,0.3149,0.1907,0.1717,0.5321,0.3437,978.38,636.28,0.8798,
23,39,G:\My Drive\ComfyUI\output\ComfyUI_00039_.png,G:\My Drive\ComfyUI\output\ComfyUI_00099_.png,0.3314,0.3399,0.2326,0.196,0.4744,0.338,2690.55,909.67,0.868,
