experiment,iteration,version,test,seed,filename,raw_sharpness,norm_sharpness,raw_subject,norm_subject,raw_style,norm_style,score
router_best_output_selector,1,v7,Simple,1.72081E+18,run_1_v7_Simple_1720807745031131757.png,1072.071983,0.1667,0.335118026,0.8972,0.245409682,0.7965,0.7143
router_best_output_selector,3,v3,Style,5.56148E+18,run_3_v3_Style_5561475385522047527.png,1027.793854,0.1544,0.346553594,1,0.18043761,0.4525,0.7059
router_best_output_selector,2,v7,Simple,4.83605E+18,run_2_v7_Simple_4836052984343428100.png,1027.582295,0.1543,0.332346618,0.8722,0.22281839,0.6769,0.6741
router_best_output_selector,2,v4,Style consistency,4.83605E+18,run_2_v4_Style_consistency_4836052984343428100.png,907.3881515,0.1208,0.345381945,0.9895,0.127012327,0.1696,0.6397
router_best_output_selector,1,v6,Density,1.72081E+18,run_1_v6_Density_1720807745031131757.png,1071.119197,0.1664,0.333685368,0.8843,0.176306576,0.4306,0.6333
router_best_output_selector,1,v4,Style consistency,1.72081E+18,run_1_v4_Style_consistency_1720807745031131757.png,881.6757518,0.1137,0.322602242,0.7846,0.139957398,0.2382,0.5298
router_best_output_selector,2,v1,Baseline,4.83605E+18,run_2_v1_Baseline_4836052984343428100.png,3702.668467,0.899,0.298308015,0.5661,0.160671413,0.3479,0.4991
router_best_output_selector,1,v5,Composition,1.72081E+18,run_1_v5_Composition_1720807745031131757.png,633.1124915,0.0445,0.293557972,0.5234,0.255665451,0.8508,0.4886
router_best_output_selector,2,v2,Subject,4.83605E+18,run_2_v2_Subject_4836052984343428100.png,3129.015508,0.7393,0.302683383,0.6055,0.117966756,0.1218,0.4616
router_best_output_selector,1,v2,Subject,1.72081E+18,run_1_v2_Subject_1720807745031131757.png,2732.911648,0.629,0.305345535,0.6294,0.114565305,0.1037,0.4613
router_best_output_selector,3,v1,Baseline,5.56148E+18,run_3_v1_Baseline_5561475385522047527.png,2503.134891,0.5651,0.288430929,0.4773,0.186738193,0.4859,0.4401
router_best_output_selector,3,v5,Composition,5.56148E+18,run_3_v5_Composition_5561475385522047527.png,473.3336744,0,0.277823031,0.3819,0.283845544,1,0.4291
router_best_output_selector,2,v3,Style,4.83605E+18,run_2_v3_Style_4836052984343428100.png,1403.895309,0.2591,0.28081733,0.4088,0.19049713,0.5058,0.3724
router_best_output_selector,3,v6,Density,5.56148E+18,run_3_v6_Density_5561475385522047527.png,1224.758014,0.2092,0.275038332,0.3569,0.195626274,0.5329,0.3416
router_best_output_selector,1,v1,Baseline,1.72081E+18,run_1_v1_Baseline_1720807745031131757.png,4065.425032,1,0.253969759,0.1674,0.170307413,0.3989,0.2802
router_best_output_selector,1,v3,Style,1.72081E+18,run_1_v3_Style_1720807745031131757.png,1431.897634,0.2669,0.256657362,0.1916,0.190773323,0.5072,0.2431
router_best_output_selector,3,v2,Subject,5.56148E+18,run_3_v2_Subject_5561475385522047527.png,3466.525783,0.8333,0.262519419,0.2443,0.094969675,0,0.2299
router_best_output_selector,3,v7,Simple,5.56148E+18,run_3_v7_Simple_5561475385522047527.png,1087.987622,0.1711,0.242372915,0.0631,0.234988496,0.7413,0.2032
router_best_output_selector,2,v5,Composition,4.83605E+18,run_2_v5_Composition_4836052984343428100.png,581.3133042,0.0301,0.235357627,0,0.243600488,0.7869,0.1604
router_best_output_selector,2,v6,Density,4.83605E+18,run_2_v6_Density_4836052984343428100.png,1161.163712,0.1915,0.24155134,0.0557,0.177528828,0.4371,0.14
router_best_output_selector,3,v4,Style consistency,5.56148E+18,run_3_v4_Style_consistency_5561475385522047527.png,801.2443997,0.0913,0.253903508,0.1668,0.116749428,0.1153,0.1323
