run_id,seed,img_v1_filename,prompt_version,img_v2_filename,timestamp
1,286696287486642080,sdxl_00001_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00001_.png,2026-03-16T15:44:58.694600+00:00
2,4953746700109678199,sdxl_00002_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00002_.png,2026-03-16T15:45:43.045562+00:00
3,9080525167784703739,sdxl_00003_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00003_.png,2026-03-16T15:46:27.507394+00:00
4,9040340643581375431,sdxl_00004_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00004_.png,2026-03-16T15:47:12.641865+00:00
5,5642430484938136430,sdxl_00005_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00005_.png,2026-03-16T15:47:57.930023+00:00
6,3353681767532811182,sdxl_00006_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00006_.png,2026-03-16T15:48:42.149274+00:00
7,1632046663355005289,sdxl_00007_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00007_.png,2026-03-16T15:49:26.831456+00:00
8,4025880413257786389,sdxl_00008_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00008_.png,2026-03-16T15:50:13.246806+00:00
9,5020303527816339798,sdxl_00009_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00009_.png,2026-03-16T15:50:58.415332+00:00
10,5185418478754592659,sdxl_00010_.png,V2_SDXL,jedi_van_gogh_3_v3_2_00010_.png,2026-03-16T15:51:42.730925+00:00
