seed,rank,file_name,prompt_version,test,single_image_score,subject_clip_norm,style_clip_norm,sharpness_norm,timestamp
1817777231737725390,1,router_best_output_selector_00005_.png,v5,Composition,0.6,1.0,1.0,0.0,2026-05-05T11:24:04.802367+00:00
653998188085737190,1,router_best_output_selector_00008_.png,v1,Baseline,0.5667,1.0,0.3333,1.0,2026-05-05T11:24:04.802367+00:00
3697035738067059104,1,router_best_output_selector_00015_.png,v1,Baseline,0.6167,1.0,0.6667,0.8333,2026-05-05T11:24:04.802367+00:00
4756892756305239358,1,router_best_output_selector_00022_.png,v1,Baseline,0.55,1.0,0.3333,0.8333,2026-05-05T11:24:04.802367+00:00
50590660834359081,1,router_best_output_selector_00033_.png,v5,Composition,0.5333,0.8333,1.0,0.0,2026-05-05T11:24:04.802367+00:00
665387876362229617,1,router_best_output_selector_00037_.png,v2,Subject,0.5,1.0,0.0,1.0,2026-05-05T11:24:04.802367+00:00
1898533362038291164,1,router_best_output_selector_00043_.png,v1,Baseline,0.5333,1.0,0.1667,1.0,2026-05-05T11:24:04.802367+00:00
6263231862458477303,1,router_best_output_selector_00051_.png,v2,Subject,0.55,1.0,0.3333,0.8333,2026-05-05T11:24:04.802367+00:00
8038420175316636725,1,router_best_output_selector_00062_.png,v6,Density,0.4833,1.0,0.3333,0.1667,2026-05-05T11:24:04.802367+00:00
4594273174593857050,1,router_best_output_selector_00068_.png,v5,Composition,0.6167,1.0,1.0,0.1667,2026-05-05T11:24:04.802367+00:00
